report_time,facility_name,wait_time,times_unavailable
2026-08-01 01:30:00.000000,Medicine Hat Regional Hospital,330,0
2026-08-01 01:30:00.000000,Misericordia Community Hospital,286,0
2026-08-01 01:30:00.000000,Northeast Community Health Centre,285,0
2026-08-01 01:30:00.000000,Northern Lights Regional Health Centre,31,0
2026-08-01 01:30:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 01:30:00.000000,Peter Lougheed Centre,485,0
2026-08-01 01:30:00.000000,Red Deer Regional Hospital,94,0
2026-08-01 01:30:00.000000,Rockyview General Hospital,351,0
2026-08-01 01:30:00.000000,Royal Alexandra Hospital,361,0
2026-08-01 01:30:00.000000,Sheldon M. Chumir Centre,366,0
2026-08-01 01:30:00.000000,South Calgary Health Centre,,0
2026-08-01 01:30:00.000000,South Health Campus,379,0
2026-08-01 01:30:00.000000,Stollery Children's Hospital,232,0
2026-08-01 01:30:00.000000,Strathcona Community Hospital,285,0
2026-08-01 01:30:00.000000,Sturgeon Community Hospital,366,0
2026-08-01 01:30:00.000000,University of Alberta Hospital,242,0
2026-08-01 01:30:00.000000,WestView Health Centre,412,0
2026-08-01 01:40:00.000000,Airdrie Community Health Centre,404,0
2026-08-01 01:40:00.000000,Alberta Children's Hospital,48,0
2026-08-01 01:40:00.000000,Chinook Regional Hospital,181,0
2026-08-01 01:40:00.000000,Cochrane Community Health Centre,,0
2026-08-01 01:40:00.000000,Devon General Hospital,127,0
2026-08-01 01:40:00.000000,Foothills Medical Centre,365,0
2026-08-01 01:40:00.000000,Fort Sask Community Hospital,214,0
2026-08-01 01:40:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 01:40:00.000000,Grey Nuns Community Hospital,319,0
2026-08-01 01:40:00.000000,Innisfail Health Centre,,1
2026-08-01 01:40:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 01:40:00.000000,Leduc Community Hospital,164,0
2026-08-01 01:40:00.000000,Medicine Hat Regional Hospital,291,0
2026-08-01 01:40:00.000000,Misericordia Community Hospital,331,0
2026-08-01 01:40:00.000000,Northeast Community Health Centre,295,0
2026-08-01 01:40:00.000000,Northern Lights Regional Health Centre,31,0
2026-08-01 01:40:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 01:40:00.000000,Peter Lougheed Centre,467,0
2026-08-01 01:40:00.000000,Red Deer Regional Hospital,103,0
2026-08-01 01:40:00.000000,Rockyview General Hospital,347,0
2026-08-01 01:40:00.000000,Royal Alexandra Hospital,371,0
2026-08-01 01:40:00.000000,Sheldon M. Chumir Centre,344,0
2026-08-01 01:40:00.000000,South Calgary Health Centre,,0
